Title,Emne[Nr],Emne[Titel],Emne[Oprettet],Emne[Rettet],Emne[Bevaring],Emne[Sletning],Emne[Filtre],Emne[Retskilder],Emne[Vejledning],Free Text
Emne_00.01.00,00.01.00,"Kommunens styrelse i almindelighed",2004-02-01,2011-05-01,B,P1800D,"FolkeskolenDelplan,DagtilbudDelplan,KommunalVandDelplan,SaerligStoetteDelplan","Kommunestyrelsesloven_A20140018629,Partistøtteloven_A20060129129_P4,Partistøtteloven_A20060129129_P11","
						<p xmlns:xsi=""http://www.w3.org/2001/XMLSchema-instance"">
							<ul>
								<li>Emnet d&#230;kker sager om kommunens styrelse i almindelighed</li>
								<li>Partist&#248;tte efter partist&#248;tteloven og tilf&#248;jes facet &#216;40.</li>
								<li> Sager der g&#229;r p&#229; tv&#230;rs af flere hovedgrupper placeres under 00.01.10 'Opgaver der d&#230;kker flere hovedgrupper' (oprettet pr. 01.05.2011)</li>
							</ul>
						</p>
					
				",[[Category:NaN_KLE_Data]]
Emne_00.01.10,00.01.10,"Opgaver der dækker flere hovedgrupper",2011-05-01,,B,P1800D,"FolkeskolenDelplan,DagtilbudDelplan,SaerligStoetteDelplan,JobcenterDelplan","","
						<p xmlns:xsi=""http://www.w3.org/2001/XMLSchema-instance"">Emnet anvendes til sager der emnem&#230;ssigt g&#229;r p&#229; tv&#230;rs af flere hovedgrupper i KLE, og som ikke entydigt kan placeres i en bestemt hovedgruppe. Emnet afl&#248;ser dermed den funktion nr. 00.01.00 havde f&#248;r 01-05-2011.</p>
					
				",[[Category:NaN_KLE_Data]]
Emne_00.02.00,00.02.00,"Andre myndigheders virksomhed/udvikling i almindelighed udgået",1988-01-01,,tom,,"","","",[[Category:NaN_KLE_Data]]
Emne_00.03.00,00.03.00,"International virksomhed og EU i almindelighed",2003-08-01,1996-01-01,K,P1800D,"FolkeskolenDelplan,DagtilbudDelplan,KommunalVandDelplan,SaerligStoetteDelplan","","
						<p xmlns:xsi=""http://www.w3.org/2001/XMLSchema-instance"">Sager om kommunens egne internationale strategier journaliseres her, kombineret med facet P15.</p>
					
				",[[Category:NaN_KLE_Data]]
Emne_00.03.01,00.03.01,"Europarådet udgået",1988-01-01,,K,,"","","",[[Category:NaN_KLE_Data]]
Emne_00.03.02,00.03.02,"Internationale organisationers virksomhed",2003-08-01,,K,P1800D,"KommunalVandDelplan","","
						<p xmlns:xsi=""http://www.w3.org/2001/XMLSchema-instance"">Her journaliseres sager vedr&#248;rende:</p>
						<p xmlns:xsi=""http://www.w3.org/2001/XMLSchema-instance"">
							<ul>
								<li>internationale organisationer som fx: FN, UNESCO og R&#248;de Kors, som ikke kan knyttes n&#230;rmere til et konkret emne</li>
								<li>organisering og udvikling af hj&#230;lpeorganisationer</li>
							</ul>
						</p>
					
				",[[Category:NaN_KLE_Data]]
Emne_00.03.03,00.03.03,"CEMR (europæiske råd af kommuner/amtskommuner) udgået",1988-01-01,,K,,"","","",[[Category:NaN_KLE_Data]]
Emne_00.03.04,00.03.04,"Regionaludvikling EU",2003-08-01,,K,P1800D,"KommunalVandDelplan","","
						<p xmlns:xsi=""http://www.w3.org/2001/XMLSchema-instance"">Her journaliseres sager vedr&#248;rende:</p>
						<p xmlns:xsi=""http://www.w3.org/2001/XMLSchema-instance"">
							<ul>
								<li>EU's organisation og udvikling</li>
								<li>aftaler om Regionale programmer som fx: Strukturfond, M&#229;l2, M&#229;l3, Artikel 33, Socialfond, Interreg III, LEADER+ og Carrefour.</li>
							</ul>
						</p>
						<p xmlns:xsi=""http://www.w3.org/2001/XMLSchema-instance"">Konkrete EU-tilskud til kommunen journaliseres under det relevante emne med facet &#216;34.</p>
						<p xmlns:xsi=""http://www.w3.org/2001/XMLSchema-instance"">N&#229;r kommuner administrerer tilskud (indstiller til eller yder), hvor tilskuddene er finansieret eller medfinansieret af EU og Staten, journaliseres sagen med &#216;39.</p>
					
				",[[Category:NaN_KLE_Data]]
Emne_00.03.05,00.03.05,"EU udgået",1988-01-01,,K,,"","","",[[Category:NaN_KLE_Data]]
Emne_00.03.06,00.03.06,"FN udgået",1988-01-01,,K,,"","","",[[Category:NaN_KLE_Data]]
Emne_00.03.08,00.03.08,"EU-interessevaretagelse ",2006-02-01,,K,P1800D,"","","
						<p xmlns:xsi=""http://www.w3.org/2001/XMLSchema-instance"">Emnet d&#230;kker sager om EU-interessevaretagelse. Fx sager om:</p>
						<p xmlns:xsi=""http://www.w3.org/2001/XMLSchema-instance"">
							<ul>
								<li>h&#248;ringssvar til ministerier ang&#229;ende EU's udvikling og organisering</li>
								<li>deltagelse i arrangementer om EU politikker mv.</li>
							</ul>
						</p>
					
				",[[Category:NaN_KLE_Data]]
Emne_00.03.10,00.03.10,"Internationalt samarbejde",2006-02-01,,K,P1800D,"","","
						<p xmlns:xsi=""http://www.w3.org/2001/XMLSchema-instance"">
							<ul>
								<li>Nummeret er til sager om internationalt samarbejde, fx om erfaringsudveksling mellem byer, deltagelse i netv&#230;rk, folkeskolers deltagelse i nordisk og europ&#230;isk samarbejde p&#229; undervisningsomr&#229;det mv.</li>
								<li>Etablering og repr&#230;sentation ifm venskabsbysamarbejde journaliseres i 00.05.01.</li>
								<li>Konkrete venskabsbybes&#248;g journaliseres i 00.05.11</li>
							</ul>
						</p>
					
				",[[Category:NaN_KLE_Data]]
Emne_00.04.00,00.04.00,"Udenlandske kommuner og kommuneforeningers organisation og udvikling i almindelighed udgået",1988-01-01,,K,P1800D,"","","",[[Category:NaN_KLE_Data]]
Emne_00.04.01,00.04.01,"Nordiske kommuneforbund/-foreninger udgået",1988-01-01,,K,,"","","",[[Category:NaN_KLE_Data]]
Emne_00.04.02,00.04.02,"Besøg fra udlandet udgået",1988-01-01,,K,,"","","",[[Category:NaN_KLE_Data]]
Emne_00.04.04,00.04.04,"Øvrige kommuneforbund udgået",1988-01-01,,K,,"","","",[[Category:NaN_KLE_Data]]
Emne_00.04.05,00.04.05,"Studieture/besøg i udlandet udgået",1988-01-01,,K,,"","","",[[Category:NaN_KLE_Data]]
Emne_00.05.00,00.05.00,"Besøg repræsentation mv. i almindelighed",1988-01-01,,K,P1800D,"FolkeskolenDelplan,DagtilbudDelplan,KommunalVandDelplan,JobcenterDelplan","","",[[Category:NaN_KLE_Data]]
Emne_00.05.01,00.05.01,"Venskabsbysamarbejde",1988-01-01,2006-02-01,K,P1800D,"","","
						<p xmlns:xsi=""http://www.w3.org/2001/XMLSchema-instance"">
							<ul>
								<li>Nummeret er til sager om venskabsbysamarbejde.</li>
								<li>Konkrete venskabsbybes&#248;g journaliseres i 00.05.11.</li>
								<li>Sager om bysamarbejde, fx i regi af Eurocities journaliseres under 00.03.10.</li>
							</ul>
						</p>
					
				",[[Category:NaN_KLE_Data]]
