Titel,Gruppe[Nr],Gruppe[Titel],Gruppe[Oprettet],Gruppe[Rettet],Gruppe[Emner],Gruppe[Filtre],Fritekst
Gruppe_00.01,00.01,"Kommunens styrelse",1988-01-01,2011-05-01,"Emne_00.01.00,Emne_00.01.10","FolkeskolenDelplan,DagtilbudDelplan,KommunalVandDelplan,SaerligStoetteDelplan",[[Category:NaN_KLE_Data]]
Gruppe_00.02,00.02,"Andre myndigheders virksomhed/udvikling [udgået]",1988-01-01,1991-01-01,"Emne_00.02.00","",[[Category:NaN_KLE_Data]]
Gruppe_00.03,00.03,"International virksomhed og EU",1988-01-01,1996-01-01,"Emne_00.03.00,Emne_00.03.01,Emne_00.03.02,Emne_00.03.03,Emne_00.03.04,Emne_00.03.05,Emne_00.03.06,Emne_00.03.08,Emne_00.03.10","FolkeskolenDelplan,DagtilbudDelplan,KommunalVandDelplan,SaerligStoetteDelplan",[[Category:NaN_KLE_Data]]
Gruppe_00.04,00.04,"Udenlandske kommuner og kommuneforeningers organisation og udvikling [udgået]",1988-01-01,,"Emne_00.04.00,Emne_00.04.01,Emne_00.04.02,Emne_00.04.04,Emne_00.04.05","",[[Category:NaN_KLE_Data]]
Gruppe_00.05,00.05,"Besøg, repræsentation mv.",1988-01-01,,"Emne_00.05.00,Emne_00.05.01,Emne_00.05.02,Emne_00.05.03,Emne_00.05.04,Emne_00.05.05,Emne_00.05.06,Emne_00.05.07,Emne_00.05.08,Emne_00.05.09,Emne_00.05.10,Emne_00.05.11,Emne_00.05.12,Emne_00.05.15","FolkeskolenDelplan,DagtilbudDelplan,KommunalVandDelplan,JobcenterDelplan",[[Category:NaN_KLE_Data]]
Gruppe_00.06,00.06,"Administration af fonde, legater og stiftelser",1988-01-01,2004-02-01,"Emne_00.06.00,Emne_00.06.02,Emne_00.06.04","FolkeskolenDelplan,DagtilbudDelplan",[[Category:NaN_KLE_Data]]
Gruppe_00.07,00.07,"Forvaltningsprincipper",1988-01-01,2004-08-01,"Emne_00.07.00,Emne_00.07.01,Emne_00.07.02,Emne_00.07.03,Emne_00.07.04,Emne_00.07.05,Emne_00.07.06,Emne_00.07.07,Emne_00.07.08,Emne_00.07.10,Emne_00.07.15,Emne_00.07.20,Emne_00.07.40","FolkeskolenDelplan,DagtilbudDelplan,KommunalVandDelplan,SaerligStoetteDelplan,JobcenterDelplan",[[Category:NaN_KLE_Data]]
Gruppe_00.08,00.08,"Civilt beredskab [udgået]",1988-01-01,,"Emne_00.08.00,Emne_00.08.01,Emne_00.08.02,Emne_00.08.03,Emne_00.08.04,Emne_00.08.05,Emne_00.08.06,Emne_00.08.07,Emne_00.08.08,Emne_00.08.09,Emne_00.08.10,Emne_00.08.11,Emne_00.08.12,Emne_00.08.13,Emne_00.08.14,Emne_00.08.15,Emne_00.08.20","FolkeskolenDelplan,DagtilbudDelplan,KommunalVandDelplan",[[Category:NaN_KLE_Data]]
Gruppe_00.10,00.10,"Integration og udlændinge [udgået]",1988-01-01,2008-11-01,"Emne_00.10.00,Emne_00.10.01,Emne_00.10.02,Emne_00.10.03,Emne_00.10.04,Emne_00.10.06,Emne_00.10.08,Emne_00.10.09,Emne_00.10.10,Emne_00.10.12,Emne_00.10.15,Emne_00.10.16,Emne_00.10.17,Emne_00.10.18,Emne_00.10.20,Emne_00.10.24,Emne_00.10.30","JobcenterDelplan",[[Category:NaN_KLE_Data]]
Gruppe_00.11,00.11,"Arbejdsmiljø [udgået]",1988-01-01,,"Emne_00.11.00,Emne_00.11.01,Emne_00.11.02,Emne_00.11.03,Emne_00.11.04,Emne_00.11.10,Emne_00.11.15","",[[Category:NaN_KLE_Data]]
