Titel,Retskilde[Titel],Retskilde[PellerK],Retskilde[Accessionsnr],Fritekst
"Kommunestyrelsesloven_A20140018629","Kommunestyrelsesloven","","A20140018629",[[Category:NaN_KLE_Data]]
"Partistøtteloven_A20060129129_P4","Partistøtteloven","§ 4","A20060129129_P4",[[Category:NaN_KLE_Data]]
"Partistøtteloven_A20060129129_P11","Partistøtteloven","§ 11","A20060129129_P11",[[Category:NaN_KLE_Data]]
"Forvaltningsloven_A20140043329","Forvaltningsloven","","A20140043329",[[Category:NaN_KLE_Data]]
"Forvaltningsloven_A20140043329_P3-6","Forvaltningsloven","§ 3-6","A20140043329_P3-6",[[Category:NaN_KLE_Data]]
"Forvaltningsloven_A20140043329_P7-8","Forvaltningsloven","§ 7-8","A20140043329_P7-8",[[Category:NaN_KLE_Data]]
"Offentlighedsloven_A20130060630_P14","Offentlighedsloven","§ 14","A20130060630_P14",[[Category:NaN_KLE_Data]]
"Offentlighedsloven_A20130060630_P37","Offentlighedsloven","§ 37","A20130060630_P37",[[Category:NaN_KLE_Data]]
"Offentlighedsloven_A20130060630_P39","Offentlighedsloven","§ 39","A20130060630_P39",[[Category:NaN_KLE_Data]]
"Offentlighedsloven_A20130060630_P7-12","Offentlighedsloven","§ 7-12","A20130060630_P7-12",[[Category:NaN_KLE_Data]]
"Forvaltningsloven_A20140043329_P9-16","Forvaltningsloven","§ 9-16","A20140043329_P9-16",[[Category:NaN_KLE_Data]]
"BEK om aktindsigt i visse interne kommunale og regionale dokumenter_B20130157505_P1-2","BEK om aktindsigt i visse interne kommunale og regionale dokumenter","§ 1-2","B20130157505_P1-2",[[Category:NaN_KLE_Data]]
"Forvaltningsloven_A20140043329_P19-21","Forvaltningsloven","§ 19-21","A20140043329_P19-21",[[Category:NaN_KLE_Data]]
"Forvaltningsloven_A20140043329_P22-24","Forvaltningsloven","§ 22-24","A20140043329_P22-24",[[Category:NaN_KLE_Data]]
"Forvaltningsloven_A20140043329_P25-26","Forvaltningsloven","§ 25-26","A20140043329_P25-26",[[Category:NaN_KLE_Data]]
"Forvaltningsloven_A20140043329_P27","Forvaltningsloven","§ 27","A20140043329_P27",[[Category:NaN_KLE_Data]]
"Forvaltningsloven_A20140043329_P28-32","Forvaltningsloven","§ 28-32","A20140043329_P28-32",[[Category:NaN_KLE_Data]]
"Offentlighedsloven_A20130060630_P13","Offentlighedsloven","§ 13","A20130060630_P13",[[Category:NaN_KLE_Data]]
"Ombudsmandsloven_A20130034929","Ombudsmandsloven","","A20130034929",[[Category:NaN_KLE_Data]]
"PSI-loven_A20050059630","PSI-loven","","A20050059630",[[Category:NaN_KLE_Data]]
"Kommunestyrelsesloven_A20140018629_P65e","Kommunestyrelsesloven","§ 65e","A20140018629_P65e",[[Category:NaN_KLE_Data]]
"Offentlighedsloven_A20130060630_P16-17","Offentlighedsloven","§ 16-17","A20130060630_P16-17",[[Category:NaN_KLE_Data]]
"BEK om organisering og understøttelse af beskæftigelsesindsatsen m.v._B20150036905_P10","BEK om organisering og understøttelse af beskæftigelsesindsatsen m.v.","§ 10","B20150036905_P10",[[Category:NaN_KLE_Data]]
"Biblioteksloven_A20130010029_P3","Biblioteksloven","§ 3, Stk.2","A20130010029_P3",[[Category:NaN_KLE_Data]]
"Borgerservicecenterloven_A20050054430","Borgerservicecenterloven","","A20050054430",[[Category:NaN_KLE_Data]]
"Lov om organisering og understøttelse af beskæftigelsesindsatsen m.v._A20140148230_P14","Lov om organisering og understøttelse af beskæftigelsesindsatsen m.v.","§ 14","A20140148230_P14",[[Category:NaN_KLE_Data]]
"Kommunestyrelsesloven_A20140018629_P32","Kommunestyrelsesloven","§ 32","A20140018629_P32",[[Category:NaN_KLE_Data]]
"Lov om regionale kulturforsøg_A19950108530","Lov om regionale kulturforsøg","","A19950108530",[[Category:NaN_KLE_Data]]
"Folkeskoleloven_A20140066529_P3","Folkeskoleloven","§ 3, Stk.9","A20140066529_P3",[[Category:NaN_KLE_Data]]
"Lov om ændringer af landets inddeling i kommuner og regioner og om opløsning og udpegelse af forpligtende kommunale samarbejder_A20060038230","Lov om ændringer af landets inddeling i kommuner og regioner og om opløsning og udpegelse af forpligtende kommunale samarbejder","","A20060038230",[[Category:NaN_KLE_Data]]
"LBK om forpligtende kommunale samarbejder_A20130099029","LBK om forpligtende kommunale samarbejder","","A20130099029",[[Category:NaN_KLE_Data]]
"Kommunestyrelsesloven_A20140018629_P60","Kommunestyrelsesloven","§ 60","A20140018629_P60",[[Category:NaN_KLE_Data]]
"Etableringsloven_A20140108729","Etableringsloven","","A20140108729",[[Category:NaN_KLE_Data]]
"Socialtilsynsloven_A20130060830","Socialtilsynsloven","","A20130060830",[[Category:NaN_KLE_Data]]
"Udbetaling Danmark-loven_A20120032430","Udbetaling Danmark-loven","","A20120032430",[[Category:NaN_KLE_Data]]
"CPR-loven_A20130000529_P6","CPR-loven","§ 6, Stk.6","A20130000529_P6",[[Category:NaN_KLE_Data]]
"Kommunestyrelsesloven_A20140018629_P4","Kommunestyrelsesloven","§ 4","A20140018629_P4",[[Category:NaN_KLE_Data]]
"Frikommuneloven_A20130102729","Frikommuneloven","","A20130102729",[[Category:NaN_KLE_Data]]
"Kommunestyrelsesloven_A20140018629_P2","Kommunestyrelsesloven","§ 2, Stk.1","A20140018629_P2",[[Category:NaN_KLE_Data]]
